URLLength,Domain,DomainLength,IsDomainIP,TLD,TLDLength,NoOfSubDomain,HasObfuscation,NoOfLettersInURL,NoOfDegitsInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,URLTitleMatchScore,IsResponsive,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasHiddenFields,Bank,Pay,Crypto,label
109,l6f3mkouqi.com,7,0,,3,0,0,60,0,0,0,0,1,1,3402,101913,1,17,1,1,0,0,0,0,0,0,0,0,1
108,hlg1fdyjgc0.biz,14,0,,3,0,0,28,6,0,0,0,1,1,4170,14537,1,0,1,1,2,0,0,0,0,0,1,0,0
68,zjdj2i137uj.xyz,27,0,,3,1,0,81,0,0,0,0,1,1,2,23,1,53,1,0,0,4,0,0,1,0,0,0,1
48,y27y7o7phr0.biz,15,0,,2,0,0,25,7,0,0,0,1,0,3242,135720,0,0,1,0,2,0,1,1,0,0,1,0,0
59,49shj6.biz,24,0,,2,1,0,45,1,0,0,0,1,1,1109,1025,1,0,1,1,1,10,0,0,0,1,0,0,1
85,69nci1g92.net,16,0,,3,0,0,0,7,0,0,0,5,1,669,149675,1,41,0,1,0,1,0,1,0,0,1,0,0
14,mv51i6b9tc71x.com,21,0,,3,0,0,0,0,0,0,0,1,0,868,23512,1,96,0,1,2,0,0,0,1,0,0,0,0
74,64upjv5owq4kd.org,24,0,,2,1,0,0,0,0,0,0,2,0,3447,272216,1,83,1,0,0,2,0,0,1,0,0,0,0
14,fbrqj.xyz,25,0,,2,2,0,40,0,1,0,0,1,1,133,23,1,8,1,1,0,0,0,1,0,0,0,0,1
14,47iiv22j95w1qi.info,8,0,,2,1,0,3,10,0,0,0,2,1,835,23,0,0,0,0,1,0,1,1,0,0,1,0,1
65,zgp5g43x7lguj.xyz,25,0,,3,1,0,26,11,0,0,0,4,1,2,69844,0,53,1,0,1,6,0,1,1,0,0,0,0
14,3v7z5r0tv.xyz,5,0,,3,1,0,20,0,0,0,0,1,1,2771,220142,1,40,1,1,2,0,0,1,0,0,0,0,1
30,ns8vqbimt2n.biz,26,0,,2,1,0,61,0,0,0,0,1,0,1841,70433,1,19,0,0,2,8,0,0,1,0,1,0,0
14,v30qom.net,19,0,,2,1,0,0,0,0,0,0,1,1,1671,23,1,56,0,1,0,2,0,0,0,0,0,0,1
26,bpqjxyhdvb5cj.net,25,0,,3,1,0,22,9,0,0,0,1,1,2,23,1,45,1,0,3,2,0,0,0,0,1,0,0
14,rdnh1zf5gdaz.org,14,0,,3,2,0,39,0,0,0,0,3,0,1443,296123,1,84,1,0,1,1,0,0,1,0,1,0,1
14,li7qo.net,13,0,,2,0,0,27,4,0,0,0,3,1,2,23,0,100,1,1,2,8,0,1,0,0,0,0,0
14,0mjljlpdv7.biz,24,0,,3,0,0,9,10,0,0,0,5,1,4119,138016,1,0,1,1,0,0,1,1,0,1,0,0,1
66,ev32xih0gncia.biz,7,0,,2,1,0,0,15,0,0,0,1,1,4976,23,1,13,1,0,0,2,1,0,1,0,0,0,1
29,d6ucn5n5hi6.xyz,27,0,,4,2,0,22,0,0,0,0,2,1,1541,109877,1,0,0,0,4,0,0,0,0,1,1,0,0
35,6yw64vdb.org,37,0,,2,0,0,21,0,0,0,0,2,1,8079,27059,1,61,1,1,0,0,0,0,1,0,1,0,1
58,sbxx34r0d7.biz,30,0,,2,0,0,0,4,0,0,0,6,1,1982,227670,1,68,0,1,0,8,0,0,0,0,0,0,1
14,h5bzv0tsnrvet96.info,15,0,,2,0,0,42,4,1,0,0,4,1,1063,82092,1,100,0,0,2,0,0,1,1,0,0,0,0
44,nb9evylc0v2wa.net,15,0,,3,1,0,18,12,0,0,0,4,0,2025,23,1,82,1,0,0,3,0,0,1,0,0,0,0
14,xdx6nyxg9p.biz,14,0,,2,0,0,46,3,0,0,0,1,0,2356,432087,1,3,0,0,4,3,0,0,0,0,0,0,1
14,d4y9ttxcy.org,8,0,,2,0,0,8,5,0,0,0,3,1,1978,65335,1,13,1,1,0,0,0,0,0,0,0,0,0
21,fu210.net,28,0,,2,0,0,0,1,0,0,0,1,0,2,17831,1,0,1,1,2,3,0,0,0,0,0,0,0
54,qirm0ygldjp67k.info,4,0,,2,1,0,6,0,1,0,0,5,0,6777,12688,1,9,0,0,0,0,0,1,1,0,1,0,1
46,q7nnk5oc5z.biz,30,0,,2,0,0,37,13,0,0,0,1,1,2,23,1,100,1,0,1,4,0,0,0,0,0,0,1
34,9uacotyv5r69s.net,18,0,,3,0,0,2,0,0,0,0,4,1,2581,356117,1,64,0,0,0,0,0,1,0,0,0,0,0
115,utfrlffec.org,19,0,,2,1,0,30,0,0,0,0,5,1,2281,23,1,0,1,0,0,4,0,0,0,0,1,0,1
48,ma1jwd3.info,17,0,,2,2,0,17,0,0,0,0,3,0,2,23,1,38,1,1,0,0,0,0,1,0,1,0,1
68,ssnlqpu.net,13,0,,2,0,0,37,0,0,0,0,7,0,201,23,0,0,1,0,1,0,0,0,0,1,0,0,1
110,xdttei.org,26,0,,3,1,0,0,0,0,0,0,3,1,3176,90172,1,100,1,0,0,0,0,1,0,0,0,1,1
14,fbul30noorxnsp4.biz,17,0,,2,0,0,19,0,0,0,0,1,1,2,23,1,100,1,1,0,0,0,0,0,0,0,0,1
14,jaojwj798kfv9nn.net,19,0,,2,2,0,11,0,0,0,0,4,1,2,10061,1,74,0,1,0,0,0,0,0,0,0,0,0
93,j9tkcxfl0.info,28,0,,2,1,0,40,1,0,0,0,7,0,2,156769,1,11,1,1,0,0,1,1,1,0,1,0,1
14,whvnraispnds63f.info,13,0,,2,1,0,15,9,0,0,0,1,1,34,222100,1,0,1,0,0,0,0,1,0,0,0,0,1
36,ov5sl0pqjh.info,16,0,,2,0,0,64,6,0,0,0,1,0,2,109000,1,63,0,0,0,5,0,0,1,0,0,0,1
71,nm9a6wrma.xyz,27,0,,3,0,0,22,5,0,0,1,1,0,3257,114661,1,100,1,1,0,0,0,0,0,0,0,0,0
65,egritcmytjs.info,22,0,,2,2,0,15,7,0,0,0,1,1,7169,23,1,38,0,1,0,0,0,1,0,0,0,0,0
94,72rhouwm403ictj.com,13,0,,3,0,0,21,3,0,0,0,2,1,6638,23,1,1,0,0,6,2,0,1,0,0,1,0,1
85,xnid5bf96.org,20,0,,2,0,0,64,12,0,0,0,6,1,375,23,0,26,1,0,0,3,0,1,0,1,1,0,1
71,fhha4.net,24,0,,4,1,0,54,4,0,0,1,1,1,2,23,0,100,1,1,0,3,0,0,0,0,1,0,1
14,rw0v9dpyyp3.net,11,0,,2,0,0,38,0,0,0,0,2,1,3153,23,1,100,0,0,1,0,0,1,0,0,0,0,0
61,h404ffc8bctb4.info,11,0,,2,1,0,38,0,0,0,0,3,1,2,7581,0,56,0,0,2,1,0,0,0,0,0,0,1
45,v7d7nfd.xyz,7,0,,3,1,0,59,0,0,0,0,1,1,2,23,1,23,0,1,0,5,0,0,1,1,0,0,0
14,1dp0x1m7er3k.com,27,0,,2,1,0,59,0,0,0,0,3,0,2,57506,0,64,0,0,4,3,0,1,0,0,0,0,1
82,2r5dwbf.com,24,0,,2,1,0,0,0,0,0,0,3,1,2345,23,1,55,1,0,0,5,0,0,0,0,1,0,0
62,spomlogg4ib9iyz.com,17,0,,3,1,0,16,0,0,0,0,1,1,149,23,1,100,1,1,5,4,0,0,0,0,0,0,0
36,5lil8g.org,20,0,,2,0,0,9,0,0,0,0,1,0,2,179213,1,0,0,0,0,4,0,1,1,1,0,1,0
27,9jmkhh.com,16,0,,2,0,0,15,0,1,0,0,4,1,2281,109292,1,2,0,1,0,0,0,0,1,1,0,0,0
14,rxph0f.org,21,0,,3,1,0,12,11,0,0,0,8,0,990,39201,1,59,1,1,0,2,0,1,1,0,0,0,0
41,ahm5awsgc8.com,23,0,,2,1,0,26,3,0,0,0,3,1,2,23,1,87,0,0,2,0,0,0,0,0,1,0,0
50,jwutuab.info,23,0,,2,0,0,10,0,0,0,0,4,1,1877,116342,1,100,1,1,1,5,0,1,0,0,0,0,1
14,yrlbwax9h8cc3r.info,9,0,,2,1,0,0,0,0,0,0,2,1,1340,23,1,54,1,1,0,0,0,0,1,0,0,0,0
74,ctx8u1j6xc.com,20,0,,2,1,0,11,2,0,0,0,1,1,262,23,1,86,0,0,4,0,0,1,1,0,1,0,1
14,wczcfht1a0ug.biz,7,0,,2,1,0,0,0,0,0,0,1,0,2815,73745,0,50,1,1,0,0,0,0,1,0,1,0,1
14,tqehvle0p9d7.com,18,0,,2,1,0,0,10,0,0,0,1,1,2,62335,1,0,0,0,0,0,0,0,0,1,0,0,0
70,8ual98edz2.net,25,0,,2,1,0,15,12,0,0,0,1,0,2,23,1,38,0,1,0,4,0,1,0,0,1,0,1
21,1o7n1tqblelpgpx.org,10,0,,2,0,0,17,1,0,0,0,3,0,4814,5142,0,14,1,1,0,4,0,0,1,0,0,0,0
30,0hdhmoxtc0sh4fb.biz,18,0,,3,1,0,33,1,0,0,1,1,1,3533,23,1,36,0,1,0,2,0,0,1,0,0,0,1
14,837mv3f.org,37,0,,2,0,0,16,0,0,0,1,1,1,1408,23,1,100,0,0,0,0,1,1,0,1,1,0,0
14,y0cuq03.net,7,0,,3,1,0,28,6,0,0,0,4,1,2,38778,1,0,1,1,1,3,0,0,0,0,0,0,1
77,ih0me.net,17,0,,2,0,0,43,0,0,0,0,1,1,3689,23,1,0,1,1,1,0,0,1,1,0,0,0,1
14,5cmw1b7.info,25,0,,3,2,0,0,0,0,0,0,3,1,2,23,1,100,1,0,0,0,0,1,1,1,0,0,1
91,ox7sh4c1g49.biz,26,0,,4,0,0,60,4,0,0,1,1,0,2,23,0,0,0,1,2,3,0,0,1,0,1,0,0
62,wgd21xa7vy.biz,13,0,,2,1,0,38,10,0,0,0,5,1,4265,21492,1,100,0,0,0,0,0,0,0,0,0,0,0
24,sf0y3tn.net,23,0,,3,0,0,0,17,0,0,0,1,1,1491,23,1,44,1,0,2,0,0,1,0,0,0,0,0
14,gx7g0649n3x9f8.xyz,17,0,,3,1,0,5,9,0,0,0,6,1,147,120055,1,58,1,0,0,1,0,1,0,0,1,0,1
14,krobk7sc.biz,18,0,,2,1,0,5,6,0,0,0,1,0,770,23,1,46,0,1,1,0,0,0,0,0,0,0,1
14,ypx0vc.org,40,0,,3,1,0,0,23,0,0,0,1,0,2,349748,0,54,0,1,0,1,0,1,0,0,1,0,1
105,o3d0pna.biz,19,0,,3,1,0,11,0,0,0,0,4,1,5242,23,1,38,1,1,0,0,0,0,0,0,1,0,1
40,h9tywn.info,14,0,,2,1,0,30,4,1,0,0,1,1,910,23,1,23,1,1,0,9,0,0,1,1,0,0,0
73,nsgi31iszz.org,28,0,,2,0,0,13,0,0,0,0,1,0,3616,19918,1,81,1,0,1,0,0,0,1,1,1,0,1
14,dj5vy30x5.xyz,20,0,,2,1,0,0,0,0,0,0,1,0,2,55363,1,32,1,0,0,2,0,1,0,0,0,0,0
41,scziq.org,22,0,,2,1,0,0,0,0,0,1,1,1,5101,79597,1,33,1,0,0,0,0,0,1,0,0,0,1
74,hix7p5rffdb.xyz,29,0,,2,0,0,0,0,0,0,0,3,0,23,118412,1,0,1,1,0,7,0,1,1,1,0,0,0
23,1w42bonc0sklu.info,25,0,,3,0,0,7,2,0,0,0,1,1,2,220290,1,18,1,1,0,0,0,0,0,0,0,0,1
69,yoc8lm4c3og.org,10,0,,2,1,0,32,13,0,0,0,1,0,3331,23,1,76,1,0,2,0,0,1,0,1,0,0,1
14,3m4ofaczhmofx.org,21,0,,3,0,0,0,10,0,0,0,1,0,1833,512707,1,15,1,0,1,4,0,1,0,0,0,0,0
14,ktc1y10rg.com,20,0,,2,2,0,79,0,0,0,0,2,1,652,5853,1,0,0,1,2,0,1,1,0,0,1,0,0
47,m22evyjbsbpet.org,10,0,,3,1,0,33,10,0,0,0,1,0,9336,23,1,0,1,1,0,0,0,1,1,0,0,0,1
22,gm84zph.com,18,0,,3,1,0,5,14,0,0,0,7,1,2519,82996,1,23,1,0,0,0,0,1,0,0,0,0,0
56,1yryvj.com,28,0,,2,0,0,0,10,1,0,0,1,1,3553,207539,0,51,1,0,0,4,0,0,0,0,0,0,1
14,0odxk9eflmnee.info,10,0,,2,0,0,48,1,0,0,0,3,1,3950,23,1,33,0,0,3,7,0,1,1,0,0,0,1
59,uhmytrbjgmgt.net,18,0,,2,1,0,8,5,0,0,0,1,1,498,231088,1,11,1,0,0,0,0,0,0,0,1,0,0
122,l5xho0n6am.xyz,32,0,,3,1,0,44,0,0,0,0,4,1,2,23,1,45,0,1,0,0,0,0,0,0,0,0,1
34,ot6cs.xyz,7,0,,2,1,0,21,0,0,0,0,1,1,2,120477,1,75,1,0,0,0,0,1,1,0,0,0,0
36,3f4o8tl.org,29,0,,2,3,0,3,1,0,0,0,3,1,2,23,1,100,1,0,1,9,0,1,1,0,0,0,0
41,cfsv06p4.info,31,0,,2,1,0,15,14,0,0,0,1,1,5889,23,1,79,1,1,0,0,0,1,1,0,0,0,1
14,eafep68s2e0.com,35,0,,2,1,0,39,1,0,0,0,5,1,3236,46332,1,84,0,0,0,0,0,0,1,0,0,0,1
49,gkw39ean.com,22,0,,2,0,0,27,0,0,0,0,1,1,4616,23,1,42,0,1,0,3,0,1,1,0,0,0,1
14,owg7i.xyz,22,0,,2,1,0,0,0,0,0,0,5,1,2,322744,1,14,1,0,2,6,0,1,0,0,0,0,0
20,1367uxr0azh3.com,19,0,,2,0,0,55,0,0,0,0,1,1,4210,10496,1,33,0,1,0,0,0,0,0,0,0,0,0
77,lmcppav51zdwv7.biz,11,0,,3,2,0,21,0,0,0,0,6,0,2,446668,0,3,1,0,1,0,0,1,1,0,0,1,0
14,a2e66ox46ss.biz,23,0,,2,2,0,11,11,0,0,0,1,0,195,23,1,15,0,1,1,1,0,0,1,0,0,0,1
51,otgelrhppfko57.xyz,27,0,,2,1,0,71,0,0,0,0,1,1,3263,92144,1,31,0,0,0,6,0,0,1,0,0,0,0
69,xqzoq9v9mx8pr7.net,31,0,,3,1,0,24,0,0,0,0,1,0,1260,23,0,100,1,1,0,1,0,0,0,0,0,0,0
44,a6gbwa2d.info,22,0,,2,1,0,58,0,0,0,0,3,0,1910,23,1,88,1,0,0,0,0,1,1,1,0,0,1
14,qplnawu5dj1i135.org,25,0,,2,1,0,52,7,0,0,0,3,0,2,23,0,15,1,0,0,0,0,1,0,0,0,0,0
23,anbjbq915.biz,38,0,,3,1,0,15,2,1,0,0,2,0,104,23,1,45,0,1,0,0,0,0,1,1,0,0,1
101,nq6tunfss09t.info,36,0,,4,0,0,18,0,0,0,0,3,1,156,23,0,37,1,0,0,2,0,0,1,0,1,0,1
14,c37b5d.org,17,0,,3,1,0,43,2,0,0,0,2,1,1340,250455,1,100,1,0,2,0,0,0,1,0,0,0,1
25,4ugev9zsha4ms.biz,31,0,,2,1,0,51,0,1,0,0,1,0,288,23,0,100,0,0,0,8,0,0,0,0,0,0,1
16,34b9tkf2joy.com,29,0,,2,0,0,19,0,0,0,0,1,0,2,205211,1,46,1,0,0,5,0,0,0,0,1,0,1
39,p5phstx.net,30,0,,3,1,0,6,5,0,0,0,2,1,2,23,1,41,0,0,0,4,0,0,0,0,0,0,1
60,odqqq8s3t60um1d.com,7,0,,2,1,0,7,5,0,0,0,4,0,51,155436,1,15,1,1,0,8,0,0,0,0,1,0,0
89,ydp6l9r.biz,15,0,,2,1,0,76,5,1,0,0,2,0,2543,23,1,30,1,0,0,0,0,0,0,0,1,0,0
25,dggc37yuxr.xyz,15,0,,2,1,0,11,0,0,0,0,1,1,2,101588,1,0,0,1,0,3,0,1,0,1,1,0,1
62,8949pnlgyym.net,24,0,,3,0,0,22,0,0,0,0,1,1,2,232691,1,36,1,1,0,0,0,0,0,0,0,0,1
51,1xyrwu.net,30,0,,3,0,0,18,0,0,0,0,1,1,2,23,1,0,0,1,0,2,0,1,0,0,0,0,1
51,6lz9arvmhi6j8.com,41,0,,2,1,0,30,9,0,0,0,1,1,2,323672,1,91,1,1,0,2,0,1,0,1,1,0,0
15,19s8epcu.com,26,0,,2,1,0,24,9,0,0,0,7,1,2,23,0,28,1,1,0,3,0,1,1,0,0,0,0
14,s0yhixrod3p.org,7,0,,3,1,0,51,0,0,0,0,5,1,2,23460,1,0,0,1,3,1,0,0,0,0,0,0,0
14,vfy46yvn.net,14,0,,3,0,0,7,0,0,0,0,4,1,5563,23,1,8,1,0,0,0,0,0,1,0,1,0,0
14,szfy0agdv.xyz,4,0,,2,1,0,22,0,0,0,0,6,1,2,23,1,70,1,1,1,3,1,1,0,0,0,0,0
45,f0jcnea1.net,9,0,,2,0,0,0,13,0,0,0,4,1,2,21921,0,100,1,0,0,10,0,1,0,0,0,0,1
60,v0oczf58slpx.info,32,0,,2,0,0,0,9,0,0,0,4,0,605,64706,1,80,1,0,0,0,0,0,1,0,1,0,1
45,l3443dt98s.net,27,0,,2,0,0,2,1,1,0,0,1,1,3164,21204,1,14,1,0,0,2,0,0,0,1,1,0,0
16,j5fwo0xhil.info,26,0,,2,1,0,21,5,0,0,0,1,1,2096,23,1,52,1,1,2,7,0,1,0,0,1,0,0
96,asiqt7d8aadlmty.com,23,0,,2,1,0,0,7,0,0,0,2,1,2,108894,1,100,1,1,0,1,0,1,0,0,0,1,1
86,qrqc4.net,31,0,,3,0,0,21,0,0,0,0,1,1,2,23,0,0,1,0,1,0,0,0,0,0,0,0,0
23,006exmdsdnm7lkh.info,14,0,,2,1,0,0,0,0,0,0,1,0,2,129782,1,99,1,0,2,8,0,1,1,0,0,0,0
14,m6af3icuhgl.biz,27,0,,2,1,0,45,11,0,0,0,1,0,3001,103836,0,6,1,0,1,0,0,1,1,0,0,0,0
39,drrhbsm.com,29,0,,2,0,0,40,12,1,0,1,3,1,3394,23,0,27,1,1,0,5,1,0,1,0,0,0,1
77,l2s781xg8yu.xyz,8,0,,2,1,0,21,3,0,0,0,1,1,2,23,1,0,1,1,0,1,0,0,0,0,0,0,0
46,8mlzy.net,12,0,,2,1,0,0,0,0,0,0,1,1,2,23,1,18,1,0,0,8,0,0,0,1,0,0,1
53,ts1132b.com,24,0,,3,0,0,8,3,0,0,0,3,1,2,23,1,8,0,1,0,0,0,0,1,0,0,0,1
27,01l33atzzk6augh.info,18,0,,2,1,0,31,0,0,0,0,1,1,5031,212229,1,0,1,1,0,2,0,1,0,0,0,0,1
50,yk45owv9cw7gxb.org,17,0,,2,0,0,15,0,0,0,0,6,1,3261,23,1,89,1,0,0,0,0,1,0,0,0,0,0
87,yu52i0yq72vg.biz,33,0,,3,0,0,0,9,0,0,0,1,1,5343,297434,1,0,0,1,0,0,0,1,0,0,0,0,1
26,xz62s83rjocv9.xyz,30,0,,3,0,0,15,0,0,0,0,1,0,3814,23,0,100,1,0,1,0,0,0,0,0,1,0,0
39,ddbgrvp7oq.xyz,19,0,,4,1,0,57,12,0,0,0,1,1,2,48054,1,67,0,0,0,11,0,0,0,1,0,0,0
43,qgeofzye4.com,12,0,,2,1,0,26,0,0,0,0,1,1,5279,244304,1,71,1,0,0,0,0,0,0,0,0,0,1
44,gegm7jch3t8icf.biz,33,0,,2,2,0,56,0,0,0,0,1,1,245,23,0,12,1,1,3,0,0,0,1,0,0,0,0
14,tcvxidxqcvcnjzs.org,21,0,,3,2,0,0,0,0,0,0,7,1,2,15942,1,87,1,1,0,1,0,0,1,0,0,0,1
14,d9kbl.org,8,0,,2,2,0,37,0,0,0,0,1,1,3199,243156,0,68,0,1,0,0,0,1,0,1,0,1,0
14,st34jod8aaj8b.biz,25,0,,2,1,0,29,0,0,0,0,1,1,6967,143763,1,0,0,1,0,0,0,1,1,0,0,0,0
40,nf970hawr0eky.xyz,18,0,,2,0,0,0,3,0,0,0,3,1,2,124837,1,4,0,0,0,2,0,0,1,0,1,0,1
53,n7ibilrqn3miz.info,39,0,,2,1,0,15,4,1,0,0,5,1,2,68405,0,81,1,0,2,0,0,0,1,0,1,0,0
17,fg35vihk457.info,20,0,,3,1,0,35,12,0,0,1,4,0,384,113100,1,62,1,0,3,5,0,1,0,0,0,0,1
81,ooa4ncwjwv35s2j.info,21,0,,3,2,0,7,10,0,0,0,1,1,3594,247858,0,51,0,1,3,1,0,0,0,0,0,0,1
30,2l8scpvyzbsbyrk.net,18,0,,3,1,0,27,0,0,0,0,3,1,696,332063,1,53,0,1,4,0,0,1,1,1,0,0,0
35,o18lsge756h.info,20,0,,2,0,0,45,5,0,0,0,1,0,1880,23,1,0,1,1,0,0,0,0,0,0,0,0,0
28,yyehtosryscy.org,23,0,,2,0,0,48,19,0,0,0,2,1,2342,23,1,57,1,0,0,4,0,0,1,0,0,0,1
39,etlkwxkn334.org,18,0,,2,1,0,23,1,0,0,0,1,1,212,318461,1,21,0,0,0,0,0,0,0,0,0,0,1
58,byiveu5zs.info,25,0,,2,1,0,22,2,0,0,0,3,1,3421,214535,1,90,0,0,0,2,0,1,0,0,0,0,0
57,95oe4.com,12,0,,3,0,0,54,3,0,0,0,5,1,3777,79697,1,79,0,0,2,4,0,1,0,0,0,0,0
14,aj4le.net,27,0,,2,1,0,10,0,0,0,0,1,1,2,200765,0,86,1,1,1,0,0,0,1,0,0,0,0
86,enuczzx0luv6rn6.org,26,0,,3,2,0,6,16,0,0,0,1,1,2,72831,1,53,1,1,0,1,0,0,0,0,0,0,0
14,wroiuw1narc.biz,12,0,,2,2,0,30,3,0,0,1,5,0,1626,226830,1,0,0,0,0,3,0,0,0,0,1,0,0
37,5lexpjk.info,18,0,,2,1,0,48,12,0,0,0,5,0,2426,91585,1,59,0,1,0,0,0,0,0,0,1,0,1
25,l8ahk6epyxwv.biz,24,0,,2,0,0,49,0,0,0,0,6,1,3289,342177,1,0,0,1,3,0,0,0,0,0,0,0,0
14,cds1fhf.biz,4,0,,2,1,0,24,0,0,0,0,3,1,2,123168,0,45,1,0,2,0,0,1,0,1,0,0,1
32,o65ka84zcg.biz,23,0,,2,1,0,104,7,0,0,0,4,1,2714,23,1,100,0,1,6,2,0,1,1,0,0,0,0
14,z1o9po2achs6.xyz,31,0,,3,1,0,16,3,0,0,0,5,1,2,367401,1,22,1,1,0,2,0,0,0,1,0,0,0
37,nehr340t3zj.org,13,0,,2,1,0,13,14,1,0,0,1,0,2,28996,1,31,0,1,0,5,0,1,0,0,0,0,1
48,as0wmj.info,25,0,,2,0,0,0,4,0,0,0,1,1,2,23,1,100,0,1,1,2,0,0,0,0,0,0,0
84,0ix0wi0lk.biz,25,0,,3,1,0,18,0,0,0,0,6,1,3349,74064,1,74,0,1,2,4,0,1,1,1,0,0,1
45,4a7gbd.biz,17,0,,2,2,0,1,0,1,0,0,2,1,2,218529,1,100,1,0,1,1,0,0,1,0,0,0,1
14,n57dpp5l011.xyz,8,0,,2,1,0,5,1,1,0,0,9,1,6316,7251,1,100,0,1,0,4,0,1,0,0,0,0,1
21,dvl4ee58e.net,27,0,,3,1,0,21,6,0,0,0,1,1,2,23,0,47,1,1,3,0,0,0,1,0,0,0,0
39,r5wjy9ntjc02ka7.org,22,0,,4,1,0,28,14,0,0,0,2,1,127,23,1,42,1,0,0,5,0,1,0,0,0,0,1
38,mbswld0rw3b.biz,35,0,,2,1,0,33,0,0,0,0,5,1,4515,23,1,33,0,1,1,8,0,1,0,0,0,1,1
84,xi011uo.net,23,0,,3,1,0,14,2,0,0,0,7,1,2,23,1,42,1,0,0,0,0,1,1,1,0,0,0
82,4uzlzmr.info,30,0,,2,0,0,64,3,0,0,0,1,0,3651,23,1,0,0,0,0,2,0,0,1,0,1,0,0
22,lziqw49t.org,4,0,,3,0,0,7,0,0,0,0,4,1,845,23,1,97,1,1,0,13,0,0,0,0,0,0,1
16,jaz28x2kg0u1y.com,27,0,,2,1,0,53,0,0,0,0,1,1,2,50038,1,0,1,0,0,9,0,1,0,0,0,0,1
14,y5975vki4z5b5.info,21,0,,3,1,0,39,2,0,0,0,1,1,1567,318962,1,59,1,0,0,0,0,0,1,0,0,0,1
16,ktuj3t5wn1.com,19,0,,2,0,0,29,4,0,0,0,1,0,2,23,0,0,0,0,0,6,0,0,0,0,1,0,0
14,rql814qt.xyz,17,0,,2,1,0,6,10,0,0,0,1,1,3639,23,1,61,1,0,0,5,0,0,1,0,1,0,1
23,i9km3e25z2llvz.org,31,0,,2,0,0,10,0,1,0,0,1,1,2,23,1,77,0,0,1,1,0,1,0,0,0,0,1
48,pi61cb7tb.biz,35,0,,2,2,0,63,1,0,0,1,6,0,2,23,1,46,0,1,1,5,0,1,1,1,0,0,0
41,ezbuc.net,7,0,,2,1,0,52,0,0,0,0,3,1,3769,31176,1,82,1,1,2,1,0,0,0,1,0,0,1
34,qh4km3zlaj2dw.com,14,0,,2,1,0,0,8,0,0,0,2,1,614,23,1,58,1,1,2,0,0,1,0,0,1,0,0
41,uwhl0lf5k.xyz,7,0,,2,0,0,31,0,0,0,1,2,1,1696,145845,1,85,1,1,0,0,1,0,1,0,0,0,1
